,user_id,REGION,TENURE,MONTANT,FREQUENCE_RECH,REVENUE,ARPU_SEGMENT,FREQUENCE,DATA_VOLUME,ON_NET,ORANGE,TIGO,ZONE1,ZONE2,MRG,REGULARITY,TOP_PACK,FREQ_TOP_PACK,CHURN
353279,2a06bc8c1e0989e7abe38aa4fdd42ee3279ad840,DIOURBEL,H 15-18 month,500.0,1.0,201.0,67.0,1.0,0.0,14.0,1.0,1.0,,,NO,44,,,0
1520438,b4ad8f6c2a111325e5cd1608ca69b859b3425394,ZIGUINCHOR,K > 24 month,5000.0,9.0,5633.0,1878.0,19.0,,9.0,47.0,,,,NO,27,All-net 500F=2000F;5d,3.0,0
661771,4ea40d15d7511cd08e2e0f20c37c0873ce8a9562,,K > 24 month,,,,,,,,,,,,NO,1,,,1
89478,0aae13ef84c5105473fcec1ab257fff8e8daf730,DAKAR,K > 24 month,9000.0,18.0,9010.0,3003.0,20.0,2187.0,154.0,23.0,124.0,,,NO,57,All-net 500F=2000F;5d,12.0,0
452893,35d63a5b28ff3a4278c94aa451d65f4259dfaf7f,LOUGA,K > 24 month,10234.0,4.0,10232.0,3411.0,9.0,27616.0,23.0,2.0,1.0,3.0,,NO,62,"Data:3000F=10GB,30d",3.0,0
1732471,cde0ecf1f40ec860f24bf6f5279d3f651f578f08,DAKAR,K > 24 month,7500.0,1.0,,,,,,,,,,NO,1,,,0
951321,712501cf28b549ba8be7d74e2edc15601c23398c,THIES,K > 24 month,,,,,,,,,,,,NO,11,,,0
6519,00c9d34757427d89d1f6cc5b94754745d72ea51d,DAKAR,K > 24 month,,,,,,1.0,1.0,,,,,NO,7,,,0
2124852,fc856fca164703b58f004a2ecd7a70fa0daf7f61,THIES,K > 24 month,9300.0,23.0,8999.0,3000.0,25.0,0.0,872.0,92.0,13.0,,,NO,62,On net 200F=Unlimited _call24H,15.0,0
1794793,d54d3875b3444294a57f34f951093eb78f263d0d,,K > 24 month,2600.0,22.0,2900.0,967.0,28.0,1005.0,0.0,1.0,,,,NO,34,Data:50F=30MB_24H,12.0,0
1289545,994f33356fde16deb5028f42a1d85cfd3f0406ec,KAOLACK,K > 24 month,1400.0,4.0,1399.0,466.0,5.0,,47.0,19.0,3.0,0.0,,NO,18,All-net 500F=2000F;5d,1.0,0
1357577,a1646b6caf7e2d8d0520f0fd6b7a4c0af274759c,THIES,H 15-18 month,3750.0,8.0,3750.0,1250.0,8.0,0.0,20.0,75.0,8.0,,,NO,48,All-net 500F=2000F;5d,4.0,0
1881285,df94539bca9a69f8477665f5b3dd43602163c12f,,K > 24 month,,,,,,,,,,,,NO,5,,,1
1747644,cfb404e5c8bbb8d6cb7cef11ee39c3c37d11680e,,K > 24 month,,,,,,139.0,4.0,,,,,NO,3,,,0
133434,0feeae2a85b5a2dd1077dfb629ea9647b02f1a35,MATAM,I 18-21 month,3200.0,22.0,3501.0,1167.0,27.0,1371.0,1015.0,41.0,,0.0,,NO,48,"Data: 100 F=40MB,24H",24.0,0
472414,382af952809b64f7a1f0e5009a8ab850e67f03ae,,K > 24 month,,,,,,,,,,,,NO,1,,,1
1896492,e1621e65052829f48cef271990163a910abe870e,DAKAR,K > 24 month,2500.0,5.0,2500.0,833.0,9.0,0.0,28.0,44.0,8.0,,1.0,NO,31,All-net 500F=2000F;5d,4.0,0
204801,1867c94369cc06b47f51e5224cf0589524d06304,,K > 24 month,,,,,,0.0,,,,,,NO,48,,,0
1268245,96c8d0209fcdc2c9457b564ef2053b8c9923789d,LOUGA,K > 24 month,4000.0,7.0,4001.0,1334.0,11.0,1001.0,14.0,50.0,0.0,,,NO,50,"Data:490F=1GB,7d",4.0,0
256589,1e9300c6c387b0135e9a7f7c4016054d3b267549,,K > 24 month,,,,,,,,,,,,NO,17,,,0
300618,23d190fd89bee2f717851239bfbfc25483ecda21,DAKAR,K > 24 month,3000.0,6.0,3040.0,1013.0,11.0,4439.0,,12.0,,,,NO,36,"Data:490F=1GB,7d",6.0,0
1902468,e2145dd81c5f3f9c3c853286f99162172f1bbe33,THIES,K > 24 month,1000.0,2.0,1000.0,333.0,2.0,1.0,43.0,33.0,1.0,3.0,,NO,32,MIXT:500F= 2500F on net _2500F off net;2d,2.0,0
1905149,e26913b841135df6904093bfdd668f0d7848692b,DAKAR,H 15-18 month,4000.0,5.0,2466.0,822.0,10.0,,2.0,40.0,0.0,,,NO,17,,,0
1005861,779f2b7b9c318d5ad004abec724b59afc6d77cd1,KAOLACK,K > 24 month,200.0,1.0,200.0,67.0,1.0,,30.0,8.0,,,,NO,4,On net 200F=Unlimited _call24H,1.0,0
1638670,c2b63bb964737c2fcfb9e3b3030da10a0b9e18bc,,K > 24 month,,,,,,,,,,,,NO,1,,,1
730038,56c593bd8d4d625a0f5229c769235bf9f643d3cb,,K > 24 month,,,,,,,,,,,,NO,45,,,0
2006239,ee7623e51c7b379b0ebc0bf12498130c9d704cf8,,K > 24 month,,,12.0,4.0,1.0,,,,,,,NO,4,,,1
123196,0eb4d5b1b4f6765775c903dd51d3f779f833e4c7,,K > 24 month,,,,,,,,,,,,NO,18,,,0
1092350,81eb05cd726b9ec826d8346ed4fb81cdd9d83108,,I 18-21 month,200.0,1.0,,,,,,,,,,NO,1,,,1
1615309,bff4500f48f01ac78c5cabac82de991f7548bba5,DAKAR,J 21-24 month,,,,,,37.0,,,,,,NO,62,,,0
1567083,ba36c5dea49f3e903bf153f396c8b32b068445a5,,K > 24 month,,,,,,,,,,,,NO,1,,,1
1318876,9cca0d301c9fca7e556a7c6881943c634fca3c77,SAINT-LOUIS,K > 24 month,11500.0,23.0,11503.0,3834.0,23.0,0.0,978.0,863.0,,,,NO,60,Jokko_Daily,21.0,0
1998361,ed853400a4b6ffd5c76e5e85ece1c75e891e1f33,KAOLACK,K > 24 month,500.0,1.0,530.0,177.0,2.0,8.0,1.0,15.0,2.0,1.0,,NO,51,All-net 500F=2000F;5d,1.0,0
